字,小韻,聲母,韻目,調,等,呼,韻母
東,東,端,東,平,一,開,東一
菄,東,端,東,平,一,開,東一
鶇,東,端,東,平,一,開,東一
䍶,東,端,東,平,一,開,東一
𠍀,東,端,東,平,一,開,東一
倲,東,端,東,平,一,開,東一
𩜍,東,端,東,平,一,開,東一
𢘐,東,端,東,平,一,開,東一
涷,東,端,東,平,一,開,東一
蝀,東,端,東,平,一,開,東一
凍,東,端,東,平,一,開,東一
鯟,東,端,東,平,一,開,東一
𢔅,東,端,東,平,一,開,東一
崠,東,端,東,平,一,開,東一
埬,東,端,東,平,一,開,東一
𧓕,東,端,東,平,一,開,東一
䰤,東,端,東,平,一,開,東一
同,同,定,東,平,一,開,東一
仝,同,定,東,平,一,開,東一
童,同,定,東,平,一,開,東一
僮,同,定,東,平,一,開,東一
銅,同,定,東,平,一,開,東一
桐,同,定,東,平,一,開,東一
峒,同,定,東,平,一,開,東一
硐,同,定,東,平,一,開,東一
𦨴,同,定,東,平,一,開,東一
𧱁,同,定,東,平,一,開,東一
筒,同,定,東,平,一,開,東一
瞳,同,定,東,平,一,開,東一
㼧,同,定,東,平,一,開,東一
𤭁,同,定,東,平,一,開,東一
罿,同,定,東,平,一,開,東一
犝,同,定,東,平,一,開,東一
筩,同,定,東,平,一,開,東一
潼,同,定,東,平,一,開,東一
曈,同,定,東,平,一,開,東一
洞,同,定,東,平,一,開,東一
侗,同,定,東,平,一,開,東一
橦,同,定,東,平,一,開,東一
烔,同,定,東,平,一,開,東一
䴀,同,定,東,平,一,開,東一
挏,同,定,東,平,一,開,東一
酮,同,定,東,平,一,開,東一
鮦,同,定,東,平,一,開,東一
㼿,同,定,東,平,一,開,東一
𦏆,同,定,東,平,一,開,東一
𦍻,同,定,東,平,一,開,東一
眮,同,定,東,平,一,開,東一
蕫,同,定,東,平,一,開,東一
穜,同,定,東,平,一,開,東一
衕,同,定,東,平,一,開,東一
𩍅,同,定,東,平,一,開,東一
𢈉,同,定,東,平,一,開,東一
䆚,同,定,東,平,一,開,東一
哃,同,定,東,平,一,開,東一
𢏕,同,定,東,平,一,開,東一
絧,同,定,東,平,一,開,東一
𨚯,同,定,東,平,一,開,東一
𨝯,同,定,東,平,一,開,東一
𪔝,同,定,東,平,一,開,東一
𩦶,同,定,東,平,一,開,東一
𪒿,同,定,東,平,一,開,東一
中,中,知,東,平,三,開,東三
中,中,知,送,去,三,開,東三
衷,中,知,東,平,三,開,東三
衷,中,知,送,去,三,開,東三
忠,中,知,東,平,三,開,東三
忠,中,知,送,去,三,開,東三
𦬕,中,知,東,平,三,開,東三
𦬕,中,知,送,去,三,開,東三
蟲,蟲,澄,東,平,三,開,東三
沖,蟲,澄,東,平,三,開,東三
种,蟲,澄,東,平,三,開,東三
盅,蟲,澄,東,平,三,開,東三
爞,蟲,澄,東,平,三,開,東三
𦬕,蟲,澄,東,平,三,開,東三
翀,蟲,澄,東,平,三,開,東三
終,終,章,東,平,三,開,東三
衆,終,章,東,平,三,開,東三
潨,終,章,東,平,三,開,東三
𣧩,終,章,東,平,三,開,東三
螽,終,章,東,平,三,開,東三
𧑄,終,章,東,平,三,開,東三
鼨,終,章,東,平,三,開,東三
蔠,終,章,東,平,三,開,東三
柊,終,章,東,平,三,開,東三
𩅧,終,章,東,平,三,開,東三
䶱,終,章,東,平,三,開,東三
鴤,終,章,東,平,三,開,東三
䈺,終,章,東,平,三,開,東三
泈,終,章,東,平,三,開,東三
䝦,終,章,東,平,三,開,東三
忡,忡,徹,東,平,三,開,東三
浺,忡,徹,東,平,三,開,東三
盅,忡,徹,東,平,三,開,東三
崇,崇,崇,東,平,三,開,東三
崈,崇,崇,東,平,三,開,東三
㓽,崇,崇,東,平,三,開,東三
𩞉,崇,崇,東,平,三,開,東三
嵩,嵩,心,東,平,三,開,東三
崧,嵩,心,東,平,三,開,東三
𪀚,嵩,心,東,平,三,開,東三
娀,嵩,心,東,平,三,開,東三
菘,嵩,心,東,平,三,開,東三
硹,嵩,心,東,平,三,開,東三
㣝,嵩,心,東,平,三,開,東三
𧊕,嵩,心,東,平,三,開,東三
𨱿,嵩,心,東,平,三,開,東三
戎,戎,日,東,平,三,開,東三
𢦦,戎,日,東,平,三,開,東三
茙,戎,日,東,平,三,開,東三
㭜,戎,日,東,平,三,開,東三
駥,戎,日,東,平,三,開,東三
𥬪,戎,日,東,平,三,開,東三
𠈋,戎,日,東,平,三,開,東三
狨,戎,日,東,平,三,開,東三
絨,戎,日,東,平,三,開,東三
弓,弓,見,東,平,三,開,東三
躳,弓,見,東,平,三,開,東三
躬,弓,見,東,平,三,開,東三
㴦,弓,見,東,平,三,開,東三
宮,弓,見,東,平,三,開,東三
匑,弓,見,東,平,三,開,東三
融,融,以,東,平,三,開,東三
肜,融,以,東,平,三,開,東三
瀜,融,以,東,平,三,開,東三
雄,雄,云,東,平,三,開,東三
熊,雄,云,東,平,三,開,東三
瞢,瞢,明,東,平,三,開,東三
瞢,瞢,明,登,平,一,開,登開
夢,瞢,明,東,平,三,開,東三
夢,瞢,明,登,平,一,開,登開
𨞯,瞢,明,東,平,三,開,東三
𨞯,瞢,明,登,平,一,開,登開
懜,瞢,明,東,平,三,開,東三
懜,瞢,明,登,平,一,開,登開
𦫰,瞢,明,東,平,三,開,東三
𦫰,瞢,明,登,平,一,開,登開
𧲎,瞢,明,東,平,三,開,東三
𧲎,瞢,明,登,平,一,開,登開
蕄,瞢,明,東,平,三,開,東三
蕄,瞢,明,登,平,一,開,登開
䒐,瞢,明,東,平,三,開,東三
䒐,瞢,明,登,平,一,開,登開
𦱟,瞢,明,東,平,三,開,東三
𦱟,瞢,明,登,平,一,開,登開
穹,穹,溪,東,平,三,開,東三
𢞏,穹,溪,東,平,三,開,東三
焪,穹,溪,東,平,三,開,東三
芎,穹,溪,東,平,三,開,東三
𦵡,穹,溪,東,平,三,開,東三
匑,穹,溪,東,平,三,開,東三
𥳎,穹,溪,東,平,三,開,東三
窮,窮,羣,東,平,三,開,東三
藭,窮,羣,東,平,三,開,東三
𥨪,窮,羣,東,平,三,開,東三
馮,馮,並,東,平,三,開,東三
堸,馮,並,東,平,三,開,東三
汎,馮,並,東,平,三,開,東三
芃,馮,並,東,平,三,開,東三
𨝭,馮,並,東,平,三,開,東三
渢,馮,並,東,平,三,開,東三
梵,馮,並,東,平,三,開,東三
風,風,幫,東,平,三,開,東三
飌,風,幫,東,平,三,開,東三
楓,風,幫,東,平,三,開,東三
猦,風,幫,東,平,三,開,東三
偑,風,幫,東,平,三,開,東三
檒,風,幫,東,平,三,開,東三
𧆉,風,幫,東,平,三,開,東三
豐,豐,滂,東,平,三,開,東三
酆,豐,滂,東,平,三,開,東三
蘴,豐,滂,東,平,三,開,東三
灃,豐,滂,東,平,三,開,東三
寷,豐,滂,東,平,三,開,東三
麷,豐,滂,東,平,三,開,東三
㒥,豐,滂,東,平,三,開,東三
㠦,豐,滂,東,平,三,開,東三
充,充,昌,東,平,三,開,東三
珫,充,昌,東,平,三,開,東三
茺,充,昌,東,平,三,開,東三
㤝,充,昌,東,平,三,開,東三
䘪,充,昌,東,平,三,開,東三
𪎽,充,昌,東,平,三,開,東三
㳘,充,昌,東,平,三,開,東三
隆,隆,來,東,平,三,開,東三
癃,隆,來,東,平,三,開,東三
𪔳,隆,來,東,平,三,開,東三
窿,隆,來,東,平,三,開,東三
霳,隆,來,東,平,三,開,東三
㚅,隆,來,東,平,三,開,東三
空,空,溪,東,平,一,開,東一
箜,空,溪,東,平,一,開,東一
崆,空,溪,東,平,一,開,東一
椌,空,溪,東,平,一,開,東一
硿,空,溪,東,平,一,開,東一
䅝,空,溪,東,平,一,開,東一
悾,空,溪,東,平,一,開,東一
埪,空,溪,東,平,一,開,東一
倥,空,溪,東,平,一,開,東一
涳,空,溪,東,平,一,開,東一
鵼,空,溪,東,平,一,開,東一
𦱇,空,溪,東,平,一,開,東一
𢃐,空,溪,東,平,一,開,東一
𧌆,空,溪,東,平,一,開,東一
公,公,見,東,平,一,開,東一
功,公,見,東,平,一,開,東一
工,公,見,東,平,一,開,東一
疘,公,見,東,平,一,開,東一
蚣,公,見,東,平,一,開,東一
玒,公,見,東,平,一,開,東一
釭,公,見,東,平,一,開,東一
魟,公,見,東,平,一,開,東一
攻,公,見,東,平,一,開,東一
㓚,公,見,東,平,一,開,東一
愩,公,見,東,平,一,開,東一
碽,公,見,東,平,一,開,東一
篢,公,見,東,平,一,開,東一
蒙,蒙,明,東,平,一,開,東一
冡,蒙,明,東,平,一,開,東一
濛,蒙,明,東,平,一,開,東一
𩦺,蒙,明,東,平,一,開,東一
艨,蒙,明,東,平,一,開,東一
䑃,蒙,明,東,平,一,開,東一
矇,蒙,明,東,平,一,開,東一
饛,蒙,明,東,平,一,開,東一
䰒,蒙,明,東,平,一,開,東一
檬,蒙,明,東,平,一,開,東一
𨢊,蒙,明,東,平,一,開,東一
䴿,蒙,明,東,平,一,開,東一
𨣘,蒙,明,東,平,一,開,東一
鸏,蒙,明,東,平,一,開,東一
幪,蒙,明,東,平,一,開,東一
罞,蒙,明,東,平,一,開,東一
𢄐,蒙,明,東,平,一,開,東一
髳,蒙,明,東,平,一,開,東一
蠓,蒙,明,東,平,一,開,東一
𦿏,蒙,明,東,平,一,開,東一
雺,蒙,明,東,平,一,開,東一
霿,蒙,明,東,平,一,開,東一
霚,蒙,明,東,平,一,開,東一
朦,蒙,明,東,平,一,開,東一
䀄,蒙,明,東,平,一,開,東一
懜,蒙,明,東,平,一,開,東一
霥,蒙,明,東,平,一,開,東一
籠,籠,來,東,平,一,開,東一
豅,籠,來,東,平,一,開,東一
㰍,籠,來,東,平,一,開,東一
朧,籠,來,東,平,一,開,東一
𡃡,籠,來,東,平,一,開,東一
龓,籠,來,東,平,一,開,東一
䪊,籠,來,東,平,一,開,東一
瀧,籠,來,東,平,一,開,東一
聾,籠,來,東,平,一,開,東一
𨏠,籠,來,東,平,一,開,東一
礱,籠,來,東,平,一,開,東一
䆍,籠,來,東,平,一,開,東一
𪚗,籠,來,東,平,一,開,東一
嚨,籠,來,東,平,一,開,東一
蘢,籠,來,東,平,一,開,東一
櫳,籠,來,東,平,一,開,東一
𤮨,籠,來,東,平,一,開,東一
巃,籠,來,東,平,一,開,東一
襱,籠,來,東,平,一,開,東一
𧙥,籠,來,東,平,一,開,東一
瓏,籠,來,東,平,一,開,東一
曨,籠,來,東,平,一,開,東一
鸗,籠,來,東,平,一,開,東一
𩟭,籠,來,東,平,一,開,東一
蠪,籠,來,東,平,一,開,東一
㟅,籠,來,東,平,一,開,東一
屸,籠,來,東,平,一,開,東一
洪,洪,匣,東,平,一,開,東一
鉷,洪,匣,東,平,一,開,東一
訌,洪,匣,東,平,一,開,東一
紅,洪,匣,東,平,一,開,東一
虹,洪,匣,東,平,一,開,東一
仜,洪,匣,東,平,一,開,東一
鴻,洪,匣,東,平,一,開,東一
葒,洪,匣,東,平,一,開,東一
葓,洪,匣,東,平,一,開,東一
谼,洪,匣,東,平,一,開,東一
䉺,洪,匣,東,平,一,開,東一
烘,洪,匣,東,平,一,開,東一
洚,洪,匣,東,平,一,開,東一
渱,洪,匣,東,平,一,開,東一
𨹁,洪,匣,東,平,一,開,東一
魟,洪,匣,東,平,一,開,東一
䧆,洪,匣,東,平,一,開,東一
䪦,洪,匣,東,平,一,開,東一
𦏺,洪,匣,東,平,一,開,東一
䫹,洪,匣,東,平,一,開,東一
䂫,洪,匣,東,平,一,開,東一
𨾊,洪,匣,東,平,一,開,東一
叢,叢,從,東,平,一,開,東一
藂,叢,從,東,平,一,開,東一
䕺,叢,從,東,平,一,開,東一
潨,叢,從,東,平,一,開,東一
𥵫,叢,從,東,平,一,開,東一
翁,翁,影,東,平,一,開,東一
螉,翁,影,東,平,一,開,東一
䱵,翁,影,東,平,一,開,東一
蓊,翁,影,東,平,一,開,東一
䈵,翁,影,東,平,一,開,東一
䩺,翁,影,東,平,一,開,東一
㮬,翁,影,東,平,一,開,東一
𩔚,翁,影,東,平,一,開,東一
怱,怱,清,東,平,一,開,東一
忩,怱,清,東,平,一,開,東一
葱,怱,清,東,平,一,開,東一
楤,怱,清,東,平,一,開,東一
𨍉,怱,清,東,平,一,開,東一
聦,怱,清,東,平,一,開,東一
繱,怱,清,東,平,一,開,東一
𤧚,怱,清,東,平,一,開,東一
騘,怱,清,東,平,一,開,東一
䗓,怱,清,東,平,一,開,東一
囪,怱,清,東,平,一,開,東一
𨣭,怱,清,東,平,一,開,東一
鍯,怱,清,東,平,一,開,東一
㷓,怱,清,東,平,一,開,東一
𢉛,怱,清,東,平,一,開,東一
通,通,透,東,平,一,開,東一
蓪,通,透,東,平,一,開,東一
侗,通,透,東,平,一,開,東一
恫,通,透,東,平,一,開,東一
痌,通,透,東,平,一,開,東一
曈,通,透,東,平,一,開,東一
俑,通,透,東,平,一,開,東一
𧳆,通,透,東,平,一,開,東一
𨀜,通,透,東,平,一,開,東一
葼,葼,精,東,平,一,開,東一
鬷,葼,精,東,平,一,開,東一
嵕,葼,精,東,平,一,開,東一
猣,葼,精,東,平,一,開,東一
豵,葼,精,東,平,一,開,東一
鯼,葼,精,東,平,一,開,東一
椶,葼,精,東,平,一,開,東一
騣,葼,精,東,平,一,開,東一
𩮀,葼,精,東,平,一,開,東一
䗥,葼,精,東,平,一,開,東一
嵸,葼,精,東,平,一,開,東一
艐,葼,精,東,平,一,開,東一
蝬,葼,精,東,平,一,開,東一
堫,葼,精,東,平,一,開,東一
𥓻,葼,精,東,平,一,開,東一
翪,葼,精,東,平,一,開,東一
緵,葼,精,東,平,一,開,東一
㚇,葼,精,東,平,一,開,東一
㣭,葼,精,東,平,一,開,東一
稯,葼,精,東,平,一,開,東一
鬉,葼,精,東,平,一,開,東一
蓬,蓬,並,東,平,一,開,東一
𥭗,蓬,並,東,平,一,開,東一
篷,蓬,並,東,平,一,開,東一
髼,蓬,並,東,平,一,開,東一
蜂,蓬,並,東,平,一,開,東一
芃,蓬,並,東,平,一,開,東一
𧚋,蓬,並,東,平,一,開,東一
韸,蓬,並,東,平,一,開,東一
䮾,蓬,並,東,平,一,開,東一
𩖛,蓬,並,東,平,一,開,東一
烘,烘,曉,東,平,一,開,東一
烘,烘,曉,送,去,一,開,東一
叿,烘,曉,東,平,一,開,東一
叿,烘,曉,送,去,一,開,東一
魟,烘,曉,東,平,一,開,東一
魟,烘,曉,送,去,一,開,東一
谾,烘,曉,東,平,一,開,東一
谾,烘,曉,送,去,一,開,東一
𩐠,烘,曉,東,平,一,開,東一
𩐠,烘,曉,送,去,一,開,東一
𩗄,烘,曉,東,平,一,開,東一
𩗄,烘,曉,送,去,一,開,東一
戇,烘,曉,東,平,一,開,東一
戇,烘,曉,送,去,一,開,東一
㟅,㟅,疑,東,平,一,開,東一
㟅,㟅,疑,江,平,二,開,江
檧,檧,心,東,平,一,開,東一
憽,檧,心,東,平,一,開,東一
㬝,檧,心,東,平,一,開,東一
冬,冬,端,冬,平,一,開,冬
𠔙,冬,端,冬,平,一,開,冬
苳,冬,端,冬,平,一,開,冬
䳉,冬,端,冬,平,一,開,冬
笗,冬,端,冬,平,一,開,冬
𩂓,冬,端,冬,平,一,開,冬
𧲴,冬,端,冬,平,一,開,冬
彤,彤,定,冬,平,一,開,冬
疼,彤,定,冬,平,一,開,冬
佟,彤,定,冬,平,一,開,冬
炵,彤,定,冬,平,一,開,冬
䳋,彤,定,冬,平,一,開,冬
鼕,彤,定,冬,平,一,開,冬
𢥞,彤,定,冬,平,一,開,冬
𢾮,彤,定,冬,平,一,開,冬
爞,彤,定,冬,平,一,開,冬
㤏,彤,定,冬,平,一,開,冬
痋,彤,定,冬,平,一,開,冬
䂈,彤,定,冬,平,一,開,冬
鉵,彤,定,冬,平,一,開,冬
𧹝,彤,定,冬,平,一,開,冬
𩦶,彤,定,冬,平,一,開,冬
浵,彤,定,冬,平,一,開,冬
䶱,彤,定,冬,平,一,開,冬
𠩁,彤,定,冬,平,一,開,冬
鉖,彤,定,冬,平,一,開,冬
𨜳,彤,定,冬,平,一,開,冬
㠽,彤,定,冬,平,一,開,冬
赨,彤,定,冬,平,一,開,冬
賨,賨,從,冬,平,一,開,冬
琮,賨,從,冬,平,一,開,冬
悰,賨,從,冬,平,一,開,冬
潨,賨,從,冬,平,一,開,冬
淙,賨,從,冬,平,一,開,冬
慒,賨,從,冬,平,一,開,冬
鬃,賨,從,冬,平,一,開,冬
㼻,賨,從,冬,平,一,開,冬
孮,賨,從,冬,平,一,開,冬
誴,賨,從,冬,平,一,開,冬
𢃏,賨,從,冬,平,一,開,冬
農,農,泥,冬,平,一,開,冬
䢉,農,泥,冬,平,一,開,冬
辳,農,泥,冬,平,一,開,冬
𨑋,農,泥,冬,平,一,開,冬
𩟊,農,泥,冬,平,一,開,冬
噥,農,泥,冬,平,一,開,冬
𩅽,農,泥,冬,平,一,開,冬
憹,農,泥,冬,平,一,開,冬
㺜,農,泥,冬,平,一,開,冬
儂,農,泥,冬,平,一,開,冬
𧗕,農,泥,冬,平,一,開,冬
膿,農,泥,冬,平,一,開,冬
攻,攻,見,冬,平,一,開,冬
釭,攻,見,冬,平,一,開,冬
䃔,䃔,匣,冬,平,一,開,冬
䃔,䃔,匣,宋,去,一,開,冬
洚,䃔,匣,冬,平,一,開,冬
洚,䃔,匣,宋,去,一,開,冬
㗢,䃔,匣,冬,平,一,開,冬
㗢,䃔,匣,宋,去,一,開,冬
𩘎,䃔,匣,冬,平,一,開,冬
𩘎,䃔,匣,宋,去,一,開,冬
䃧,䃧,來,冬,平,一,開,冬
䥢,䃧,來,冬,平,一,開,冬
𣫣,䃧,來,冬,平,一,開,冬
宗,宗,精,冬,平,一,開,冬
倧,宗,精,冬,平,一,開,冬
鬆,鬆,心,冬,平,一,開,冬
䯳,鬆,心,冬,平,一,開,冬
炵,炵,透,冬,平,一,開,冬
鍾,鍾,章,鍾,平,三,開,鍾
鐘,鍾,章,鍾,平,三,開,鍾
蚣,鍾,章,鍾,平,三,開,鍾
忪,鍾,章,鍾,平,三,開,鍾
䇗,鍾,章,鍾,平,三,開,鍾
蹱,鍾,章,鍾,平,三,開,鍾
彸,鍾,章,鍾,平,三,開,鍾
衳,鍾,章,鍾,平,三,開,鍾
伀,鍾,章,鍾,平,三,開,鍾
橦,鍾,章,鍾,平,三,開,鍾
籦,鍾,章,鍾,平,三,開,鍾
妐,鍾,章,鍾,平,三,開,鍾
㕬,鍾,章,鍾,平,三,開,鍾
𧢸,鍾,章,鍾,平,三,開,鍾
炂,鍾,章,鍾,平,三,開,鍾
𦬘,鍾,章,鍾,平,三,開,鍾
𨳗,鍾,章,鍾,平,三,開,鍾
鈆,鍾,章,鍾,平,三,開,鍾
龍,龍,來,鍾,平,三,開,鍾
𪚝,龍,來,鍾,平,三,開,鍾
躘,龍,來,鍾,平,三,開,鍾
鸗,龍,來,鍾,平,三,開,鍾
驡,龍,來,鍾,平,三,開,鍾
𪚠,龍,來,鍾,平,三,開,鍾
籠,龍,來,鍾,平,三,開,鍾
𦪽,龍,來,鍾,平,三,開,鍾
蘢,龍,來,鍾,平,三,開,鍾
舂,舂,書,鍾,平,三,開,鍾
𧐍,舂,書,鍾,平,三,開,鍾
摏,舂,書,鍾,平,三,開,鍾
蹖,舂,書,鍾,平,三,開,鍾
𪄻,舂,書,鍾,平,三,開,鍾
憃,舂,書,鍾,平,三,開,鍾
松,松,邪,鍾,平,三,開,鍾
㮤,松,邪,鍾,平,三,開,鍾
淞,松,邪,鍾,平,三,開,鍾
訟,松,邪,鍾,平,三,開,鍾
𧘂,𧘂,昌,鍾,平,三,開,鍾
衝,𧘂,昌,鍾,平,三,開,鍾
罿,𧘂,昌,鍾,平,三,開,鍾
憧,𧘂,昌,鍾,平,三,開,鍾
䡴,𧘂,昌,鍾,平,三,開,鍾
艟,𧘂,昌,鍾,平,三,開,鍾
潼,𧘂,昌,鍾,平,三,開,鍾
褈,𧘂,昌,鍾,平,三,開,鍾
𠟍,𧘂,昌,鍾,平,三,開,鍾
𠝤,𧘂,昌,鍾,平,三,開,鍾
䂌,𧘂,昌,鍾,平,三,開,鍾
容,容,以,鍾,平,三,開,鍾
溶,容,以,鍾,平,三,開,鍾
滽,容,以,鍾,平,三,開,鍾
庸,容,以,鍾,平,三,開,鍾
𦤘,容,以,鍾,平,三,開,鍾
𧴄,容,以,鍾,平,三,開,鍾
㺎,容,以,鍾,平,三,開,鍾
𤛑,容,以,鍾,平,三,開,鍾
墉,容,以,鍾,平,三,開,鍾
鎔,容,以,鍾,平,三,開,鍾
鏞,容,以,鍾,平,三,開,鍾
銿,容,以,鍾,平,三,開,鍾
鄘,容,以,鍾,平,三,開,鍾
傭,容,以,鍾,平,三,開,鍾
𪅟,容,以,鍾,平,三,開,鍾
㼸,容,以,鍾,平,三,開,鍾
𤮇,容,以,鍾,平,三,開,鍾
鱅,容,以,鍾,平,三,開,鍾
蓉,容,以,鍾,平,三,開,鍾
䗤,容,以,鍾,平,三,開,鍾
傛,容,以,鍾,平,三,開,鍾
褣,容,以,鍾,平,三,開,鍾
搈,容,以,鍾,平,三,開,鍾
瑢,容,以,鍾,平,三,開,鍾
䈶,容,以,鍾,平,三,開,鍾
嵱,容,以,鍾,平,三,開,鍾
頌,容,以,鍾,平,三,開,鍾
㝐,容,以,鍾,平,三,開,鍾
䡆,容,以,鍾,平,三,開,鍾
㟾,容,以,鍾,平,三,開,鍾
𨲟,容,以,鍾,平,三,開,鍾
𪃾,容,以,鍾,平,三,開,鍾
槦,容,以,鍾,平,三,開,鍾
㣑,容,以,鍾,平,三,開,鍾
𢧳,容,以,鍾,平,三,開,鍾
封,封,幫,鍾,平,三,開,鍾
𡉚,封,幫,鍾,平,三,開,鍾
犎,封,幫,鍾,平,三,開,鍾
葑,封,幫,鍾,平,三,開,鍾
崶,封,幫,鍾,平,三,開,鍾
胷,胷,曉,鍾,平,三,開,鍾
凶,胷,曉,鍾,平,三,開,鍾
𣧑,胷,曉,鍾,平,三,開,鍾
銎,胷,曉,鍾,平,三,開,鍾
洶,胷,曉,鍾,平,三,開,鍾
恟,胷,曉,鍾,平,三,開,鍾
𧧗,胷,曉,鍾,平,三,開,鍾
兇,胷,曉,鍾,平,三,開,鍾
訩,胷,曉,鍾,平,三,開,鍾
匈,胷,曉,鍾,平,三,開,鍾
顒,顒,疑,鍾,平,三,開,鍾
𩤛,顒,疑,鍾,平,三,開,鍾
鰅,顒,疑,鍾,平,三,開,鍾
喁,顒,疑,鍾,平,三,開,鍾
邕,邕,影,鍾,平,三,開,鍾
雍,邕,影,鍾,平,三,開,鍾
噰,邕,影,鍾,平,三,開,鍾
嗈,邕,影,鍾,平,三,開,鍾
郺,邕,影,鍾,平,三,開,鍾
澭,邕,影,鍾,平,三,開,鍾
灉,邕,影,鍾,平,三,開,鍾
癰,邕,影,鍾,平,三,開,鍾
罋,邕,影,鍾,平,三,開,鍾
廱,邕,影,鍾,平,三,開,鍾
饔,邕,影,鍾,平,三,開,鍾
壅,邕,影,鍾,平,三,開,鍾
雝,邕,影,鍾,平,三,開,鍾
𪄉,邕,影,鍾,平,三,開,鍾
㻾,邕,影,鍾,平,三,開,鍾
𧴗,邕,影,鍾,平,三,開,鍾
醲,醲,孃,鍾,平,三,開,鍾
𨑊,醲,孃,鍾,平,三,開,鍾
濃,醲,孃,鍾,平,三,開,鍾
襛,醲,孃,鍾,平,三,開,鍾
穠,醲,孃,鍾,平,三,開,鍾
檂,醲,孃,鍾,平,三,開,鍾
𪒬,醲,孃,鍾,平,三,開,鍾
𨲳,醲,孃,鍾,平,三,開,鍾
重,重,澄,鍾,平,三,開,鍾
重,重,澄,腫,上,三,開,鍾
重,重,澄,用,去,三,開,鍾
穜,重,澄,鍾,平,三,開,鍾
穜,重,澄,腫,上,三,開,鍾
穜,重,澄,用,去,三,開,鍾
緟,重,澄,鍾,平,三,開,鍾
緟,重,澄,腫,上,三,開,鍾
緟,重,澄,用,去,三,開,鍾
褈,重,澄,鍾,平,三,開,鍾
褈,重,澄,腫,上,三,開,鍾
褈,重,澄,用,去,三,開,鍾
䳯,重,澄,鍾,平,三,開,鍾
䳯,重,澄,腫,上,三,開,鍾
䳯,重,澄,用,去,三,開,鍾
蝩,重,澄,鍾,平,三,開,鍾
蝩,重,澄,腫,上,三,開,鍾
蝩,重,澄,用,去,三,開,鍾
𢝆,重,澄,鍾,平,三,開,鍾
𢝆,重,澄,腫,上,三,開,鍾
𢝆,重,澄,用,去,三,開,鍾
襱,重,澄,鍾,平,三,開,鍾
襱,重,澄,腫,上,三,開,鍾
襱,重,澄,用,去,三,開,鍾
鮦,重,澄,鍾,平,三,開,鍾
鮦,重,澄,腫,上,三,開,鍾
鮦,重,澄,用,去,三,開,鍾
𨉢,重,澄,鍾,平,三,開,鍾
𨉢,重,澄,腫,上,三,開,鍾
𨉢,重,澄,用,去,三,開,鍾
從,從,從,鍾,平,三,開,鍾
從,從,從,用,去,三,開,鍾
从,從,從,鍾,平,三,開,鍾
从,從,從,用,去,三,開,鍾
𩀰,從,從,鍾,平,三,開,鍾
𩀰,從,從,用,去,三,開,鍾
蹱,蹱,徹,鍾,平,三,開,鍾
蹱,蹱,徹,用,去,三,開,鍾
傭,蹱,徹,鍾,平,三,開,鍾
傭,蹱,徹,用,去,三,開,鍾
𦟛,蹱,徹,鍾,平,三,開,鍾
𦟛,蹱,徹,用,去,三,開,鍾
𨙦,蹱,徹,鍾,平,三,開,鍾
𨙦,蹱,徹,用,去,三,開,鍾
䝑,蹱,徹,鍾,平,三,開,鍾
䝑,蹱,徹,用,去,三,開,鍾
𨤩,蹱,徹,鍾,平,三,開,鍾
𨤩,蹱,徹,用,去,三,開,鍾
𪒒,蹱,徹,鍾,平,三,開,鍾
𪒒,蹱,徹,用,去,三,開,鍾
憃,蹱,徹,鍾,平,三,開,鍾
憃,蹱,徹,用,去,三,開,鍾
逢,逢,並,鍾,平,三,開,鍾
縫,逢,並,鍾,平,三,開,鍾
漨,逢,並,鍾,平,三,開,鍾
䩼,逢,並,鍾,平,三,開,鍾
𥎌,逢,並,鍾,平,三,開,鍾
夆,逢,並,鍾,平,三,開,鍾
𥛝,逢,並,鍾,平,三,開,鍾
捀,逢,並,鍾,平,三,開,鍾
峯,峯,滂,鍾,平,三,開,鍾
鋒,峯,滂,鍾,平,三,開,鍾
丰,峯,滂,鍾,平,三,開,鍾
𡴀,峯,滂,鍾,平,三,開,鍾
𢓱,峯,滂,鍾,平,三,開,鍾
妦,峯,滂,鍾,平,三,開,鍾
蠭,峯,滂,鍾,平,三,開,鍾
蜂,峯,滂,鍾,平,三,開,鍾
𧒒,峯,滂,鍾,平,三,開,鍾
蘴,峯,滂,鍾,平,三,開,鍾
桻,峯,滂,鍾,平,三,開,鍾
㷭,峯,滂,鍾,平,三,開,鍾
烽,峯,滂,鍾,平,三,開,鍾
莑,峯,滂,鍾,平,三,開,鍾
仹,峯,滂,鍾,平,三,開,鍾
㸼,峯,滂,鍾,平,三,開,鍾
縱,縱,精,鍾,平,三,開,鍾
縱,縱,精,用,去,三,開,鍾
𣯨,縱,精,鍾,平,三,開,鍾
𣯨,縱,精,用,去,三,開,鍾
蹤,縱,精,鍾,平,三,開,鍾
蹤,縱,精,用,去,三,開,鍾
䡮,縱,精,鍾,平,三,開,鍾
䡮,縱,精,用,去,三,開,鍾
樅,縱,精,鍾,平,三,開,鍾
樅,縱,精,用,去,三,開,鍾
磫,縱,精,鍾,平,三,開,鍾
磫,縱,精,用,去,三,開,鍾
豵,縱,精,鍾,平,三,開,鍾
豵,縱,精,用,去,三,開,鍾
熧,縱,精,鍾,平,三,開,鍾
熧,縱,精,用,去,三,開,鍾
𧺣,縱,精,鍾,平,三,開,鍾
