字,閩南語聲母,閩南語韻母,閩南語調,文白音
凰,h,ong,5,
妨,h,ong,5,
宏,h,ong,5,
弘,h,ong,5,
泓,h,ong,5,
洪,h,ong,5,文
煌,h,ong,5,
癀,h,ong,5,替
皇,h,ong,5,
磺,h,ong,5,
篷,h,ong,5,文
紅,h,ong,5,文
縫,h,ong,5,文
蓬,h,ong,5,
逢,h,ong,5,
防,h,ong,5,
隍,h,ong,5,
鴻,h,ong,5,
黃,h,ong,5,文
栱,k,ong,5,
狂,k,ong,5,
嚨,l,ong,5,文
囊,l,ong,5,
廊,l,ong,5,
榔,l,ong,5,文
櫳,l,ong,5,
濃,l,ong,5,
狼,l,ong,5,
籠,l,ong,5,文
聾,l,ong,5,文
膿,l,ong,5,文
農,l,ong,5,
郎,l,ong,5,文
王,,ong,5,
膀,ph,ong,5,
蘋,ph,ong,5,
房,p,ong,5,文
旁,p,ong,5,
篷,p,ong,5,白
倯,s,ong,5,替
佟,t,ong,5,
同,t,ong,5,文
唐,t,ong,5,文
堂,t,ong,5,文
塘,t,ong,5,文
幢,t,ong,5,替
桐,t,ong,5,文
棠,t,ong,5,
瞳,t,ong,5,
童,t,ong,5,文
筒,t,ong,5,文
床,tsh,ong,5,文
傱,ts,ong,5,替
叢,ts,ong,5,文
崇,ts,ong,5,
藏,ts,ong,5,
摹,b,oo,5,
模,b,oo,5,
牟,b,oo,5,
謀,b,oo,5,
娛,g,oo,5,
蜈,g,oo,5,
侯,h,oo,5,文
壺,h,oo,5,文
弧,h,oo,5,
撈,h,oo,5,替
毫,h,oo,5,
狐,h,oo,5,
糊,h,oo,5,文
胡,h,oo,5,文
葫,h,oo,5,
蝴,h,oo,5,文
鬍,h,oo,5,
鰗,h,oo,5,替
糊,k,oo,5,白
奴,l,oo,5,
婁,l,oo,5,
爐,l,oo,5,
盧,l,oo,5,
蘆,l,oo,5,
螺,l,oo,5,文
鱸,l,oo,5,
鸕,l,oo,5,
摩,m,oo,5,
毛,m,oo,5,文
盲,m,oo,5,
矛,m,oo,5,
磨,m,oo,5,文
蘑,m,oo,5,
魔,m,oo,5,
俄,ng,oo,5,文
吳,ng,oo,5,
吾,ng,oo,5,
娛,ng,oo,5,
娥,ng,oo,5,
梧,ng,oo,5,
蜈,ng,oo,5,
遨,ng,oo,5,
鵝,ng,oo,5,文
壺,,oo,5,白
湖,,oo,5,
瑚,,oo,5,
胡,,oo,5,白
蝴,,oo,5,白
扶,ph,oo,5,白
菩,ph,oo,5,
捗,p,oo,5,替
痡,p,oo,5,替
蒲,p,oo,5,
裒,p,oo,5,
酺,p,oo,5,替
塗,th,oo,5,白
涂,th,oo,5,白
頭,th,oo,5,文
圖,t,oo,5,
塗,t,oo,5,文
屠,t,oo,5,
廚,t,oo,5,白
徒,t,oo,5,
涂,t,oo,5,文
濤,t,oo,5,
途,t,oo,5,
陀,t,oo,5,
巫,b,u,5,
無,b,u,5,
誣,b,u,5,
娛,g,u,5,
愚,g,u,5,
漁,g,u,5,文
牛,g,u,5,白
虞,g,u,5,
魚,g,u,5,文
扶,h,u,5,文
浮,h,u,5,文
漁,h,u,5,白
符,h,u,5,
芙,h,u,5,文
苻,h,u,5,
魚,h,u,5,白
俞,j,u,5,
儒,j,u,5,
如,j,u,5,
愉,j,u,5,
挐,j,u,5,替
渝,j,u,5,
瑜,j,u,5,
蠕,j,u,5,文
瞿,kh,u,5,
跍,kh,u,5,替
俞,l,u,5,
儒,l,u,5,
如,l,u,5,
愉,l,u,5,
挐,l,u,5,替
渝,l,u,5,
瑜,l,u,5,
蠕,l,u,5,文
驢,l,u,5,
浮,ph,u,5,白
烰,ph,u,5,替
芙,ph,u,5,白
葡,ph,u,5,
匏,p,u,5,
垺,p,u,5,替
炰,p,u,5,
嗣,s,u,5,俗
殊,s,u,5,
祠,s,u,5,
詞,s,u,5,
辭,s,u,5,文
疵,tsh,u,5,
喌,ts,u,5,替
慈,ts,u,5,
磁,ts,u,5,
薯,ts,u,5,白
儲,t,u,5,
廚,t,u,5,文
櫥,t,u,5,
躇,t,u,5,
鋤,t,u,5,
除,t,u,5,白
余,,u,5,
圍,,u,5,俗
渝,,u,5,
瑜,,u,5,
餘,,u,5,文
文,b,un,5,
紋,b,un,5,
聞,b,un,5,
蚊,b,un,5,
門,b,un,5,文
雯,b,un,5,
銀,g,un,5,
墳,h,un,5,文
渾,h,un,5,
焚,h,un,5,
痕,h,un,5,
雲,h,un,5,
魂,h,un,5,
勤,kh,un,5,
囷,kh,un,5,替
芹,kh,un,5,
蜷,kh,un,5,替
拳,k,un,5,白
群,k,un,5,
裙,k,un,5,
𤉙,k,un,5,替
倫,l,un,5,
圇,l,un,5,
淪,l,un,5,
綸,l,un,5,
輪,l,un,5,
墳,ph,un,5,白
盆,ph,un,5,
歕,p,un,5,
唇,s,un,5,
巡,s,un,5,
循,s,un,5,
旬,s,un,5,
殉,s,un,5,
純,s,un,5,
絢,s,un,5,
荀,s,un,5,
詢,s,un,5,
醇,s,un,5,
馴,s,un,5,
豚,th,un,5,
黗,th,un,5,替
存,tsh,un,5,
前,ts,un,5,替
存,ts,un,5,
船,ts,un,5,
唇,t,un,5,
脣,t,un,5,
云,,un,5,
勻,,un,5,替
殷,,un,5,文
筠,,un,5,
耘,,un,5,
磨,b,ua,5,白
樺,h,ua,5,
華,h,ua,5,
籮,l,ua,5,白
痲,m,ua,5,
瞞,m,ua,5,
鰻,m,ua,5,
麻,m,ua,5,白
攔,n,ua,5,白
欄,n,ua,5,白
蛇,ts,ua,5,白
何,,ua,5,白
鼾,h,uann,5,替
寒,k,uann,5,白
盤,p,uann,5,白
磐,p,uann,5,白
殘,ts,uann,5,白
泉,ts,uann,5,白
壇,t,uann,5,白
彈,t,uann,5,白
檀,t,uann,5,白
元,g,uan,5,
原,g,uan,5,
源,g,uan,5,
頑,g,uan,5,
凡,h,uan,5,
圜,h,uan,5,
帆,h,uan,5,文
樊,h,uan,5,
煩,h,uan,5,
環,h,uan,5,文
礬,h,uan,5,
繁,h,uan,5,
還,h,uan,5,文
權,kh,uan,5,
環,kh,uan,5,白
懸,k,uan,5,白
拳,k,uan,5,文
戀,l,uan,5,俗
鑾,l,uan,5,
鸞,l,uan,5,
盤,ph,uan,5,文
磐,ph,uan,5,文
盤,p,uan,5,文
旋,s,uan,5,
璿,s,uan,5,
傳,th,uan,5,文
團,th,uan,5,
攢,tsh,uan,5,
全,ts,uan,5,文
泉,ts,uan,5,文
丸,,uan,5,
員,,uan,5,文
園,,uan,5,文
圓,,uan,5,文
垣,,uan,5,
完,,uan,5,
灣,,uan,5,
袁,,uan,5,
懷,h,uai,5,
槐,h,uai,5,
淮,h,uai,5,
頦,h,uai,5,白
橫,h,uainn,5,白
莖,h,uainn,5,替
囮,b,ue,5,
和,h,ue,5,白
回,h,ue,5,
荷,h,ue,5,替
迴,h,ue,5,
𫝻,h,ue,5,替
挼,j,ue,5,
瘸,kh,ue,5,
葵,kh,ue,5,替
膎,k,ue,5,
媒,m,ue,5,白
梅,m,ue,5,白
煤,m,ue,5,
糜,m,ue,5,
皮,ph,ue,5,白
培,p,ue,5,
裴,p,ue,5,
賠,p,ue,5,
陪,p,ue,5,
垂,s,ue,5,白
棰,tsh,ue,5,
箠,tsh,ue,5,白
齊,ts,ue,5,
蹄,t,ue,5,
頹,t,ue,5,
題,t,ue,5,
喂,,ue,5,替
鞋,,ue,5,白
危,g,ui,5,
瓷,h,ui,5,替
肥,h,ui,5,文
葵,k,ui,5,
擂,l,ui,5,
癗,l,ui,5,替
鐳,l,ui,5,
雷,l,ui,5,
媒,m,ui,5,文
梅,m,ui,5,文
玫,m,ui,5,
莓,m,ui,5,文
肥,p,ui,5,白
垂,s,ui,5,文
箠,s,ui,5,文
誰,s,ui,5,文
隨,s,ui,5,
槌,th,ui,5,
錘,th,ui,5,
誰,ts,ui,5,白
𠞩,ts,ui,5,替
捶,t,ui,5,
危,,ui,5,俗
唯,,ui,5,
圍,,ui,5,
帷,,ui,5,
惟,,ui,5,
桅,,ui,5,
為,,ui,5,
維,,ui,5,
違,,ui,5,
遺,,ui,5,
韋,,ui,5,
橫,h,uinn,5,白
峇,b,a,7,替
擸,b,a,7,替
覓,b,a,7,替
鴟,b,a,7,替
下,h,a,7,文
夏,h,a,7,文
暇,h,a,7,
共,k,a,7,
咬,k,a,7,白
抐,l,a,7,替
嘛,m,a,7,替
罵,m,a,7,文
但,n,a,7,
吶,n,a,7,替
若,n,a,7,白
罷,p,a,7,
疱,ph,a,7,替
喳,tsh,a,7,替
餡,,ann,7,
迒,h,ann,7,替
奅,ph,ann,7,
淡,t,ann,7,白
㨻,ts,ann,7,
錚,tsh,ann,7,替
頷,,am,7,
儑,g,am,7,替
𩸶,g,am,7,替
和,h,am,7,替
憾,h,am,7,
陷,h,am,7,
濫,l,am,7,替
纜,l,am,7,白
艦,l,am,7,
啖,t,am,7,替
淡,t,am,7,文
窞,th,am,7,替
站,ts,am,7,
鏨,ts,am,7,替
限,,an,7,白
慢,b,an,7,
曼,b,an,7,
漫,b,an,7,
瓣,b,an,7,替
萬,b,an,7,
蔓,b,an,7,
顢,b,an,7,替
岸,g,an,7,文
彥,g,an,7,
諺,g,an,7,
雁,g,an,7,
旱,h,an,7,文
汗,h,an,7,文
瀚,h,an,7,
翰,h,an,7,
限,h,an,7,文
亂,l,an,7,白
爛,l,an,7,文
難,l,an,7,
𡳞,l,an,7,
扮,p,an,7,
範,p,an,7,白
辦,p,an,7,
但,t,an,7,
彈,t,an,7,文
憚,t,an,7,
誕,t,an,7,
贊,ts,an,7,替
夢,b,ang,7,白
望,b,ang,7,白
網,b,ang,7,白
愣,g,ang,7,替
巷,h,ang,7,
項,h,ang,7,
仝,k,ang,7,替
共,k,ang,7,白
俍,l,ang,7,替
弄,l,ang,7,白
籠,l,ang,7,替
棒,p,ang,7,
蚌,p,ang,7,
縫,ph,ang,7,白
動,t,ang,7,白
重,t,ang,7,白
礙,g,ai,7,
亥,h,ai,7,
害,h,ai,7,
械,h,ai,7,
蟹,h,ai,7,文
內,l,ai,7,白
利,l,ai,7,白
鴟,l,ai,7,替
昧,m,ai,7,
覓,m,ai,7,替
賣,m,ai,7,文
邁,m,ai,7,
奈,n,ai,7,文
耐,n,ai,7,
荔,n,ai,7,
賴,n,ai,7,文
艾,ng,ai,7,文
敗,p,ai,7,
似,s,ai,7,白
侍,s,ai,7,白
姒,s,ai,7,
祀,s,ai,7,白
事,t,ai,7,白
代,t,ai,7,文
大,t,ai,7,文
待,t,ai,7,白
舵,t,ai,7,文
袋,t,ai,7,文
貸,t,ai,7,
逮,t,ai,7,
黛,t,ai,7,
𩸙,t,ai,7,
待,th,ai,7,文
態,th,ai,7,
在,ts,ai,7,
祀,tsh,ai,7,白
𫞼,tsh,ai,7,替
偝,,ainn,7,替
揹,ph,ainn,7,替
后,,au,7,白
後,,au,7,白
㴘,b,au,7,替
貿,b,au,7,
候,h,au,7,
後,h,au,7,白
效,h,au,7,
校,h,au,7,
鱟,h,au,7,
厚,k,au,7,白
詬,k,au,7,替
漏,l,au,7,白
老,l,au,7,白
鬧,l,au,7,
貌,m,au,7,
鬧,n,au,7,
樂,ng,au,7,
藕,ng,au,7,
鮑,p,au,7,
抱,ph,au,7,文
痘,t,au,7,白
脰,t,au,7,
讀,t,au,7,白
豆,t,au,7,
毒,th,au,7,白
找,ts,au,7,
妹,b,e,7,
未,b,e,7,白
袂,b,e,7,替
賣,b,e,7,白
下,,e,7,白
會,,e,7,替
禍,,e,7,白
毅,g,e,7,
藝,g,e,7,
詣,g,e,7,
下,h,e,7,白
係,h,e,7,
夏,h,e,7,白
系,h,e,7,
繫,h,e,7,
蟹,h,e,7,白
低,k,e,7,替
例,l,e,7,
勵,l,e,7,
厲,l,e,7,文
戾,l,e,7,
篱,l,e,7,替
鑢,l,e,7,替
鱺,l,e,7,替
麗,l,e,7,
罵,m,e,7,白
硬,ng,e,7,白
敝,p,e,7,
斃,p,e,7,
爸,p,e,7,
耙,p,e,7,
稗,ph,e,7,
被,ph,e,7,白
誓,s,e,7,文
代,t,e,7,白
地,t,e,7,文
弟,t,e,7,文
第,t,e,7,
苧,t,e,7,白
袋,t,e,7,白
遞,t,e,7,
䖳,th,e,7,
坐,ts,e,7,白
寨,ts,e,7,
濟,ts,e,7,替
罪,ts,e,7,白
坐,tsh,e,7,替
揣,tsh,e,7,替
病,p,enn,7,白
怦,ph,enn,7,替
捏,t,enn,7,替
鄭,t,enn,7,白
靜,ts,enn,7,白
味,b,i,7,
媚,b,i,7,
寐,b,i,7,
未,b,i,7,文
沬,b,i,7,替
謎,b,i,7,
魅,b,i,7,
毅,g,i,7,
義,g,i,7,
誼,g,i,7,
議,g,i,7,
耳,h,i,7,白
奕,,i,7,
易,,i,7,
異,,i,7,
預,,i,7,白
二,j,i,7,
字,j,i,7,
膩,j,i,7,
貳,j,i,7,
餌,j,i,7,
忌,kh,i,7,
柿,kh,i,7,
巨,k,i,7,
己,k,i,7,白
忌,k,i,7,
拒,k,i,7,白
距,k,i,7,
二,l,i,7,
俐,l,i,7,
利,l,i,7,文
厲,l,i,7,白
吏,l,i,7,
呂,l,i,7,白
字,l,i,7,
慮,l,i,7,
濾,l,i,7,
痢,l,i,7,
膩,l,i,7,
貳,l,i,7,
離,l,i,7,
餌,l,i,7,
麵,m,i,7,白
硬,ng,i,7,白
爾,n,i,7,替
莉,n,i,7,替
備,p,i,7,
婢,p,i,7,
被,p,i,7,文
避,p,i,7,
寺,s,i,7,
序,s,i,7,替
是,s,i,7,
氏,s,i,7,
示,s,i,7,
窸,s,i,7,替
視,s,i,7,
雉,th,i,7,
佇,t,i,7,
地,t,i,7,文
底,t,i,7,替
弟,t,i,7,白
治,t,i,7,
滯,t,i,7,
痔,t,i,7,
稚,t,i,7,
箸,t,i,7,
緻,t,i,7,
市,tsh,i,7,
飼,tsh,i,7,
巳,ts,i,7,白
硯,h,inn,7,
耳,h,inn,7,白
院,,inn,7,
鼻,ph,inn,7,
病,p,inn,7,白
辮,p,inn,7,
豉,s,inn,7,替
紩,th,inn,7,替
捏,t,inn,7,替
滇,t,inn,7,替
鄭,t,inn,7,
舐,ts,inn,7,
扲,g,im,7,替
任,j,im,7,
妗,k,im,7,
任,l,im,7,
愖,s,im,7,替
甚,s,im,7,
朕,t,im,7,
燖,t,im,7,替
蝒,b,in,7,替
面,b,in,7,白
猌,g,in,7,替
恨,h,in,7,白
孕,,in,7,
運,,in,7,白
認,j,in,7,
近,k,in,7,
吝,l,in,7,
藺,l,in,7,
認,l,in,7,
剩,s,in,7,白
慎,s,in,7,
腎,s,in,7,文
伨,th,in,7,替
陣,t,in,7,白
儘,ts,in,7,
盡,ts,in,7,
贐,ts,in,7,
命,b,ing,7,文
孟,b,ing,7,
硬,g,ing,7,文
倖,h,ing,7,
幸,h,ing,7,
杏,h,ing,7,
荇,h,ing,7,
莧,h,ing,7,
行,h,ing,7,
貺,h,ing,7,替
用,,ing,7,白
虹,kh,ing,7,
勁,k,ing,7,
楗,k,ing,7,替
競,k,ing,7,
令,l,ing,7,
冗,l,ing,7,
另,l,ing,7,
楝,l,ing,7,白
稜,l,ing,7,替
翎,l,ing,7,替
鴒,l,ing,7,替
並,ph,ing,7,白
並,p,ing,7,文
病,p,ing,7,文
乘,s,ing,7,
倖,s,ing,7,替
剩,s,ing,7,文
晟,s,ing,7,
盛,s,ing,7,
定,t,ing,7,文
橂,t,ing,7,替
碇,t,ing,7,文
訂,t,ing,7,
鄧,t,ing,7,
鄭,t,ing,7,文
錠,t,ing,7,文
𠕇,t,ing,7,替
穿,tsh,ing,7,替
淨,ts,ing,7,
贈,ts,ing,7,
靖,ts,ing,7,
靜,ts,ing,7,文
瓦,h,ia,7,白
蟻,h,ia,7,白
也,,ia,7,
夜,,ia,7,
掖,,ia,7,替
徛,kh,ia,7,替
崎,k,ia,7,替
命,m,ia,7,白
爾,n,ia,7,替
陵,n,ia,7,替
射,s,ia,7,
社,s,ia,7,
謝,s,ia,7,文
麝,s,ia,7,
謝,ts,ia,7,白
艾,h,iann,7,白
焱,,iann,7,
颺,,iann,7,
件,k,iann,7,
健,k,iann,7,白
盛,s,iann,7,
𣛮,s,iann,7,
侹,th,iann,7,替
定,t,iann,7,白
碇,t,iann,7,白
錠,t,iann,7,白
掙,ts,iann,7,替
驗,g,iam,7,
炎,,iam,7,
焰,,iam,7,
燄,,iam,7,
豔,,iam,7,
儉,kh,iam,7,
唸,l,iam,7,
念,l,iam,7,
捻,l,iam,7,
殮,l,iam,7,
填,th,iam,7,
墊,t,iam,7,
恬,t,iam,7,替
暫,ts,iam,7,
漸,ts,iam,7,
面,b,ian,7,文
麵,b,ian,7,文
彥,g,ian,7,
殗,g,ian,7,
炫,h,ian,7,
現,h,ian,7,
健,k,ian,7,文
胘,k,ian,7,替
腱,k,ian,7,文
鍵,k,ian,7,
楝,l,ian,7,文
煉,l,ian,7,
練,l,ian,7,
鍊,l,ian,7,
便,p,ian,7,文
辨,p,ian,7,
辯,p,ian,7,
善,s,ian,7,
擅,s,ian,7,
禪,s,ian,7,
羨,s,ian,7,
腎,s,ian,7,白
蟮,s,ian,7,替
鱔,s,ian,7,
𤺪,s,ian,7,替
佃,t,ian,7,
奠,t,ian,7,
殿,t,ian,7,
電,t,ian,7,
賤,ts,ian,7,
踐,ts,ian,7,
偝,,iang,7,替
煬,,iang,7,
亮,l,iang,7,
龐,ph,iang,7,替
上,s,iang,7,替
𫝛,s,iang,7,
䢢,tsh,iang,7,替
耀,,iau,7,
撟,k,iau,7,替
撬,k,iau,7,替
轎,k,iau,7,文
廖,l,iau,7,
料,l,iau,7,
繚,l,iau,7,替
妙,m,iau,7,
篠,s,iau,7,
紹,s,iau,7,
柱,th,iau,7,白
祧,th,iau,7,
𤶃,th,iau,7,替
兆,t,iau,7,
掉,t,iau,7,
肇,t,iau,7,
調,t,iau,7,
廟,b,io,7,
蕎,g,io,7,替
后,h,io,7,文
後,h,io,7,文
喲,,io,7,替
尿,j,io,7,
轎,k,io,7,白
尿,l,io,7,
鰾,p,io,7,
邵,s,io,7,
癜,t,io,7,替
趙,t,io,7,
炤,tsh,io,7,替
樣,,iong,7,文
用,,iong,7,文
讓,j,iong,7,文
釀,j,iong,7,
共,k,iong,7,文
強,k,iong,7,
亮,l,iong,7,
冗,l,iong,7,
諒,l,iong,7,
讓,l,iong,7,文
輛,l,iong,7,白
釀,l,iong,7,
量,l,iong,7,文
上,s,iong,7,文
像,s,iong,7,文
剩,s,iong,7,
尚,s,iong,7,文
訟,s,iong,7,
誦,s,iong,7,
象,s,iong,7,文
頌,s,iong,7,
丈,t,iong,7,文
仗,t,iong,7,
仲,t,iong,7,
杖,t,iong,7,文
重,t,iong,7,文
狀,ts,iong,7,文
繆,b,iu,7,
謬,b,iu,7,
佑,,iu,7,
又,,iu,7,
右,,iu,7,
宥,,iu,7,
柚,,iu,7,
祐,,iu,7,
𩚨,kh,iu,7,替
咎,k,iu,7,
柩,k,iu,7,
舅,k,iu,7,文
舊,k,iu,7,文
餾,l,iu,7,
讓,n,iu,7,白
量,n,iu,7,白
受,s,iu,7,
售,s,iu,7,
壽,s,iu,7,
岫,s,iu,7,
授,s,iu,7,
宙,t,iu,7,
稻,t,iu,7,替
紂,t,iu,7,
樹,tsh,iu,7,白
就,ts,iu,7,
樣,,iunn,7,白
噤,kh,iunn,7,替
尚,s,iunn,7,白
想,s,iunn,7,白
象,s,iunn,7,替
丈,t,iunn,7,白
上,tsh,iunn,7,白
像,tsh,iunn,7,白
匠,tsh,iunn,7,
象,tsh,iunn,7,白
上,ts,iunn,7,白
癢,ts,iunn,7,白
毋,,m,7,替
遠,h,ng,7,白
問,m,ng,7,白
兩,n,ng,7,白
卵,n,ng,7,白
傍,p,ng,7,白
飯,p,ng,7,白
杖,th,ng,7,白
熥,th,ng,7,替
碭,th,ng,7,替
丈,t,ng,7,白
搪,t,ng,7,替
斷,t,ng,7,白
盪,t,ng,7,白
蕩,t,ng,7,白
旋,ts,ng,7,替
狀,ts,ng,7,白
臟,ts,ng,7,白
帽,b,o,7,
磨,b,o,7,文
餓,g,o,7,
和,h,o,7,
昊,h,o,7,
浩,h,o,7,
皓,h,o,7,
禍,h,o,7,文
號,h,o,7,
賀,h,o,7,
滒,k,o,7,替
翱,k,o,7,替
勞,l,o,7,
囉,l,o,7,替
烙,l,o,7,替
號,l,o,7,替
抱,ph,o,7,白
部,ph,o,7,替
抱,p,o,7,俗
暴,p,o,7,文
唆,s,o,7,
導,t,o,7,
就,t,o,7,替
悼,t,o,7,
惰,t,o,7,文
盜,t,o,7,
稻,t,o,7,
舵,t,o,7,文
蹈,t,o,7,
道,t,o,7,
嘈,ts,o,7,替
坐,ts,o,7,文
座,ts,o,7,
皂,ts,o,7,替
造,ts,o,7,
茂,,om,7,替
墓,b,ong,7,
夢,b,ong,7,文
妄,b,ong,7,
忘,b,ong,7,
望,b,ong,7,文
戇,g,ong,7,
俸,h,ong,7,
奉,h,ong,7,
鳳,h,ong,7,
吭,kh,ong,7,替
鞏,kh,ong,7,替
弄,l,ong,7,文
浪,l,ong,7,
旺,,ong,7,
滂,ph,ong,7,替
蓬,ph,ong,7,替
傍,p,ong,7,文
碰,p,ong,7,
磅,p,ong,7,
蓬,p,ong,7,替
宕,th,ong,7,
緟,th,ong,7,替
動,t,ong,7,文
撞,t,ong,7,
洞,t,ong,7,
盪,t,ong,7,文
蕩,t,ong,7,文
狀,ts,ong,7,文
臟,ts,ong,7,文
藏,ts,ong,7,
募,b,oo,7,
墓,b,oo,7,
幕,b,oo,7,
慕,b,oo,7,
戊,b,oo,7,
摹,b,oo,7,
暮,b,oo,7,
茂,b,oo,7,
貿,b,oo,7,
五,g,oo,7,白
午,g,oo,7,白
誤,g,oo,7,
予,h,oo,7,
互,h,oo,7,
厚,h,oo,7,文
后,h,oo,7,文
後,h,oo,7,文
戶,h,oo,7,
扈,h,oo,7,
滬,h,oo,7,
皓,h,oo,7,
護,h,oo,7,
雨,h,oo,7,白
怙,k,oo,7,替
漏,l,oo,7,文
蕗,l,oo,7,
賂,l,oo,7,
路,l,oo,7,
陋,l,oo,7,
露,l,oo,7,
鷺,l,oo,7,
𢲸,l,oo,7,替
冒,m,oo,7,
傲,ng,oo,7,
悟,ng,oo,7,
臥,ng,oo,7,
怒,n,oo,7,
懦,n,oo,7,
芋,,oo,7,白
廍,ph,oo,7,替
簿,ph,oo,7,
哺,p,oo,7,替
埠,p,oo,7,
步,p,oo,7,
部,p,oo,7,
度,t,oo,7,
杜,t,oo,7,
渡,t,oo,7,
痘,t,oo,7,文
竇,t,oo,7,
肚,t,oo,7,
荳,t,oo,7,
讀,t,oo,7,文
鍍,t,oo,7,
助,ts,oo,7,
務,b,u,7,
霧,b,u,7,
寓,g,u,7,
御,g,u,7,
禦,g,u,7,
遇,g,u,7,
傅,h,u,7,文
婦,h,u,7,文
父,h,u,7,
腐,h,u,7,白
負,h,u,7,
附,h,u,7,
喻,j,u,7,
裕,j,u,7,
諭,j,u,7,
俱,kh,u,7,
具,kh,u,7,白
臼,kh,u,7,
具,k,u,7,文
巨,k,u,7,
懼,k,u,7,
拒,k,u,7,白
舅,k,u,7,白
舊,k,u,7,白
距,k,u,7,
呂,l,u,7,白
喻,l,u,7,
慮,l,u,7,
瀘,l,u,7,
裕,l,u,7,
諭,l,u,7,
鋁,l,u,7,
浡,ph,u,7,替
婦,p,u,7,白
孵,p,u,7,替
事,s,u,7,文
仕,s,u,7,
似,s,u,7,文
侍,s,u,7,文
嗣,s,u,7,
士,s,u,7,
嶼,s,u,7,
巳,s,u,7,文
序,s,u,7,文
敘,s,u,7,
樹,s,u,7,文
祀,s,u,7,文
緒,s,u,7,
署,s,u,7,白
豎,s,u,7,
呲,tsh,u,7,替
澍,tsh,u,7,替
跙,tsh,u,7,替
住,ts,u,7,
柱,ts,u,7,文
聚,ts,u,7,
自,ts,u,7,
苴,ts,u,7,替
嘟,t,u,7,替
箸,t,u,7,
駐,t,u,7,替
有,,u,7,白
芋,,u,7,文
譽,,u,7,
豫,,u,7,
預,,u,7,白
問,b,un,7,文
悶,b,un,7,
燜,b,un,7,替
份,h,un,7,
分,h,un,7,
恨,h,un,7,文
昏,h,un,7,替
混,h,un,7,
潤,j,un,7,
閏,j,un,7,
韌,j,un,7,
近,k,un,7,
郡,k,un,7,
崙,l,un,7,
潤,l,un,7,
論,l,un,7,
閏,l,un,7,
韌,l,un,7,
畚,p,un,7,
笨,p,un,7,
循,s,un,7,
順,s,un,7,
坉,th,un,7,替
捘,ts,un,7,替
陣,ts,un,7,文
屯,t,un,7,
沌,t,un,7,
燉,t,un,7,
遁,t,un,7,
鈍,t,un,7,
暈,,un,7,
運,,un,7,文
韻,,un,7,
偌,g,ua,7,替
外,g,ua,7,白
嘩,h,ua,7,替
樺,h,ua,7,
譁,h,ua,7,
呱,k,ua,7,替
瀨,l,ua,7,
賴,l,ua,7,白
蔓,m,ua,7,替
僆,n,ua,7,替
懶,n,ua,7,白
瀾,n,ua,7,替
爛,n,ua,7,白
倏,s,ua,7,替
汰,th,ua,7,替
豸,th,ua,7,
娶,tsh,ua,7,替
泄,tsh,ua,7,替
𤆬,tsh,ua,7,替
誓,ts,ua,7,白
逝,ts,ua,7,
大,t,ua,7,白
舵,t,ua,7,白
岸,h,uann,7,白
扞,h,uann,7,替
旱,h,uann,7,白
銲,h,uann,7,
捾,k,uann,7,替
汗,k,uann,7,白
綰,k,uann,7,替
伴,ph,uann,7,白
拌,p,uann,7,替
濺,ts,uann,7,替
彈,t,uann,7,白
惰,t,uann,7,白
段,t,uann,7,白
換,,uann,7,
旱,,uann,7,白
願,g,uan,7,
凡,h,uan,7,
宦,h,uan,7,
患,h,uan,7,
梵,h,uan,7,
泛,h,uan,7,
犯,h,uan,7,
範,h,uan,7,文
范,h,uan,7,
還,h,uan,7,替
飯,h,uan,7,文
倦,k,uan,7,
縣,k,uan,7,
亂,l,uan,7,文
戀,l,uan,7,
伴,ph,uan,7,文
叛,p,uan,7,
畔,p,uan,7,
漩,s,uan,7,替
璇,s,uan,7,替
訕,s,uan,7,替
撰,ts,uan,7,
轉,ts,uan,7,替
傳,t,uan,7,
斷,t,uan,7,文
段,t,uan,7,文
緞,t,uan,7,
援,,uan,7,
緩,,uan,7,
壞,h,uai,7,
拐,k,uainn,7,替
檨,s,uainn,7,替
跩,ts,uainn,7,替
未,b,ue,7,白
袂,b,ue,7,替
賣,b,ue,7,白
外,g,ue,7,文
匯,h,ue,7,
慧,h,ue,7,
會,h,ue,7,
繪,h,ue,7,
薈,h,ue,7,
叡,j,ue,7,
銳,j,ue,7,
內,l,ue,7,文
叡,l,ue,7,
篱,l,ue,7,替
銳,l,ue,7,
鑢,l,ue,7,替
妹,m,ue,7,
稗,ph,ue,7,
被,ph,ue,7,白
佩,p,ue,7,
倍,p,ue,7,
培,p,ue,7,替
悖,p,ue,7,
焙,p,ue,7,
狽,p,ue,7,
背,p,ue,7,
揣,tsh,ue,7,替
濟,ts,ue,7,替
睡,ts,ue,7,白
罪,ts,ue,7,文
兌,t,ue,7,文
地,t,ue,7,文
苧,t,ue,7,白
畫,,ue,7,
衛,,ue,7,
話,,ue,7,
偽,g,ui,7,
魏,g,ui,7,
吠,h,ui,7,文
彗,h,ui,7,
惠,h,ui,7,
慧,h,ui,7,
櫃,k,ui,7,
膭,k,ui,7,替
跪,k,ui,7,
饋,k,ui,7,
淚,l,ui,7,
累,l,ui,7,
縋,l,ui,7,替
類,l,ui,7,
吠,p,ui,7,白
瑞,s,ui,7,
睡,s,ui,7,文
穗,s,ui,7,
遂,s,ui,7,
隧,s,ui,7,
悴,ts,ui,7,
兌,t,ui,7,白
